"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","UniProt","label"
"IGHV3.13_P01766_MS",-0.115467381367061,1.99184310080097,0.50451130671475,-0.0113172917778876,0.076,0.447801635798612,0,0.436484344020724,0,-0.0259282879968549,0.076,-0.0638741580798093,0.00115665053424394,0.15504,0,0.15504,"IGHV3-13","P01766","IGHV3-13"
"IGLV2.8_P01709_MS",-0.114807204149699,1.94079853471174,0.350126389553258,-0.00791625842182571,0.162,0.440194893642255,0,0.432278635220429,0,-0.0183128606802162,0.162,-0.0541923800454528,0.00747921976502698,0.284896551724138,0,0.284896551724138,"IGLV2-8","P01709","IGLV2-8"
"IGLV5.45_A0A087WSX0_MS",-0.223490121362208,1.95507413280971,0.239705283135214,-0.0105095176581234,0.154,0.442286798397224,0,0.431777280739101,0,-0.0243401358221849,0.154,-0.0635038084020955,0.00958541201202891,0.275578947368421,0,0.275578947368421,"IGLV5-45","A0A087WSX0","IGLV5-45"
"IGLV7.46_A0A075B6I9_MS",-0.158919809579707,1.91444345056021,0.152772991109885,-0.00481348966073107,0.46,0.435920179346909,0,0.431106689686177,0,-0.0111654255799998,0.46,-0.047597316840709,0.016701622358817,0.609350649350649,0,0.609350649350649,"IGLV7-46","A0A075B6I9","IGLV7-46"
"IMPA1_P29218_MS",0.0705383462275716,1.89683818656508,-0.062343268876796,-0.000875526951443681,0.918,0.432810224192477,0,0.431934697241033,0,-0.00202698916534392,0.918,-0.0487482125269842,0.0463525769484844,0.949939393939394,0,0.949939393939394,"IMPA1","P29218","IMPA1"
"LDHA_P00338_MS",0.0873029070720679,1.90618600890349,-0.155492096777644,-0.0026973940254794,0.816,0.434665032062268,0,0.431967638036788,0,-0.00624443543441946,0.816,-0.0567184398598068,0.0423009408679334,0.876126315789474,0,0.876126315789474,"LDHA","P00338","LDHA"
"LDHB_P07195_MS",0.0673620638969831,1.97453342081964,-1.0788421894907,-0.0142080300600461,0.12,0.446595847688754,0,0.432387817628708,0,-0.0328594596812774,0.12,-0.0814156006397654,0.0108241810779803,0.235384615384615,0,0.235384615384615,"LDHB","P07195","LDHB"
"LDLR_P01130_MS",-0.0635056993394488,1.91835318535421,0.363946140802602,-0.0045762928156896,0.426,0.436279475666187,0,0.431703182850498,0,-0.010600553800583,0.426,-0.043123693184005,0.0157238604802996,0.6035,0,0.6035,"LDLR","P01130","LDLR"
"MAPT_P10636_MS",0.164903444420272,1.80270576283229,0.72282152936792,0.0239449457859074,0.008,0.407065031206561,0,0.431009976992469,0,0.0555554327372933,0.008,0.0129616009322649,0.109023652664518,0.0255,0,0.0255,"MAPT","P10636","MAPT"
"MDH1_P40925_MS",0.108070727530335,1.7302029803585,1.77774781064384,0.0391106161668581,0.004,0.391928737349347,0,0.431039353516205,0,0.0907356041804841,0.004,0.0234082729357213,0.172306055893982,0.0145714285714286,0,0.0145714285714286,"MDH1","P40925","MDH1"
"MIF_P14174_MS",0.0984712345846229,1.76211857967517,1.75790437499437,0.0348990571236935,0,0.396229467943672,0,0.431128525067366,0,0.0809481514085397,0,0.0275968154388055,0.157183715977642,0,0,0,"MIF","P14174","MIF"
"NAXE_Q8NCW5_MS",0.0517224456583537,1.92313418154081,-0.520979787440779,-0.00533131299387875,0.396,0.437407327377956,0,0.432076014384077,0,-0.0123388311695073,0.396,-0.0412361241424337,0.0160825351471628,0.577028571428571,0,0.577028571428571,"NAXE","Q8NCW5","NAXE"
"NEDD8_Q15843_MS",0.0623462606640383,1.86275208376041,0.568958638970074,0.00710505422424196,0.206,0.425278308164312,0,0.432383362388554,0,0.0164323025404875,0.206,-0.0107372534654921,0.0547298434849182,0.33352380952381,0,0.33352380952381,"NEDD8","Q15843","NEDD8"
"NEFL_P07196_MS",0.131312794959867,1.81664551399566,1.98409956363066,0.0490186290129093,0.002,0.373614945507205,0,0.422633574520114,0,0.115983755120658,0.002,0.0513075122940135,0.197190497974769,0.00816,0,0.00816,"NEFL","P07196","NEFL"
"NIF3L1_Q9GZT8_MS",0.0774574012384036,1.90474888894957,-0.148555421345457,-0.00228700967058112,0.704,0.434343222212781,0,0.4320562125422,0,-0.00529331509232203,0.704,-0.0385063414353948,0.0274166310794616,0.806831460674157,0,0.806831460674157,"NIF3L1","Q9GZT8","NIF3L1"
"NME1_P15531_MS",0.102982769086975,1.82100400281125,0.853752203389533,0.0176622840701948,0.052,0.41312694158686,0,0.430789225657054,0,0.0409998278003718,0.052,-0.000585206176040529,0.108600543893269,0.115304347826087,0,0.115304347826087,"NME1","P15531","NME1"
"NME2_P22392_MS",0.0991829236371435,1.83387194132624,0.799106530553503,0.0158560402737871,0.03,0.414600832836042,0,0.430456873109829,0,0.0368353748407717,0.03,0.00186221308518817,0.0943873911733966,0.0746341463414634,0,0.0746341463414634,"NME2","P22392","NME2"
"NPEPPS_P55786_MS",0.054281357832142,1.8587167132613,0.658894256658878,0.00717165574377742,0.478,0.424654318867631,0,0.431825974611409,0,0.0166077451691762,0.478,-0.0245503270910728,0.06527686683877,0.625076923076923,0,0.625076923076923,"NPEPPS","P55786","NPEPPS"
"NSF_P46459_MS",0.0538473805998173,1.93651509773111,-0.809802897236666,-0.00858900717648965,0.192,0.438758508293258,0,0.430169501116768,0,-0.0199665647011041,0.192,-0.0598039064452116,0.00840734546549918,0.315870967741936,0,0.315870967741936,"NSF","P46459","NSF"
"PARK7_Q99497_MS",0.0633747661480077,1.87792457337574,0.23687447683243,0.0030002811292395,0.714,0.428985442522431,0,0.43198572365167,0,0.00694532472943196,0.714,-0.0368287046037497,0.0566037848020197,0.807032967032967,0,0.807032967032967,"PARK7","Q99497","PARK7"
"PCSK2_P16519_MS",-0.0552151363772223,1.89801347854707,-3.95824880836108,0.0404704691186599,0,0.387179388330724,0,0.427649857449384,0,0.0946345904568667,0,0.0358558835708052,0.161232291247937,0,0,0,"PCSK2","P16519","PCSK2"
"PDXP_Q96GD0_MS",0.0930712637817764,1.83008508743952,1.16798866458852,0.0216283333049321,0.002,0.4097575846054,0,0.431385917910332,0,0.0501368552077487,0.002,0.014307901593156,0.0998171111538112,0.00816,0,0.00816,"PDXP","Q96GD0","PDXP"
"PEA15_Q15121_MS",0.13901873996948,1.57652856605444,3.63760357638347,0.099818316473812,0,0.332409520093741,0,0.432227836567552,0,0.230939120595514,0,0.140843479800592,0.343555646908967,0,0,0,"PEA15","Q15121","PEA15"
"PEBP1_P30086_MS",0.0636459956077438,1.85143128098675,0.70449777744857,0.00900409969421392,0.354,0.423189763444422,0,0.432193863138636,0,0.020833474193329,0.354,-0.0202394837635486,0.0705999448770507,0.547090909090909,0,0.547090909090909,"PEBP1","P30086","PEBP1"
"PGAM1_P18669_MS",0.0984800141246538,1.56085663987846,5.26278246150537,0.102346120428622,0,0.328484519370179,0,0.430830639798801,0,0.237555343037853,0,0.149836436381742,0.349932974392274,0,0,0,"PGAM1","P18669","PGAM1"
"PGAM2_P15259_MS",0.127580409158764,1.70370769521854,1.91762915078756,0.0497905754692785,0,0.383372856950768,0,0.433163432420046,0,0.11494639607758,0,0.0492635613997465,0.20218670035982,0,0,0,"PGAM2","P15259","PGAM2"
"PGK1_P00558_MS",0.0865587254100414,1.68831060049657,3.59648881768656,0.0617773909785397,0,0.365326446898658,0,0.427103837877198,0,0.144642556446196,0,0.0692859156352608,0.255315445859795,0,0,0,"PGK1","P00558","PGK1"
"PKM_P14618_MS",0.104698860093611,1.79190550808196,1.09280853450643,0.0231641991013665,0.056,0.408531935393744,0,0.43169613449511,0,0.0536585742850307,0.056,-0.00116230549357117,0.113669329877849,0.119,0,0.119,"PKM","P14618","PKM"
"PLD3_Q8IV08_MS",0.0539577739902196,1.84798080369299,1.08076572101897,0.0116691842939353,0.084,0.41951531226613,0,0.431184496560065,0,0.0270630887405057,0.084,-0.0030357679596725,0.0727004924159063,0.168,0,0.168,"PLD3","Q8IV08","PLD3"
