"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"LRG1_P02750_MS",-0.000848472799150322,-0.00108769950182465,0.0427682919416866,-0.0198388282680821,0.984186435181898,0.198631098142864,0.183954012028264,273,-0.0850460507377073,0.0833491051394067,179.423485698627,0.994504915031534,"LRG1","P02750","LRG1"
"LRIG1_Q96JA1_MS",-0.00341807624182804,-0.00443158102182151,0.0417945433830987,-0.081782834914528,0.934881610455683,0.247846126633842,0.233546623337907,263,-0.0857125759360333,0.0788764234523772,150.683300743082,0.97859914091955,"LRIG1","Q96JA1","LRIG1"
"LRIG2_O94898_MS",0.0378536872065769,0.0414489781183075,0.050559679217516,0.748693183825873,0.454698721941507,0.195037660359211,0.180019706261434,268,-0.0616909987852749,0.137398373198429,263.397027742887,0.684754622923817,"LRIG2","O94898","LRIG2"
"LRP1_Q07954_MS",0.0126395382643336,0.0279658337423139,0.0117352092974852,1.07706117069784,0.282403771007024,0.820269630959675,0.816977865958937,273,-0.0104634699361694,0.0357425464648365,-542.183967464026,0.531707193040202,"LRP1","Q07954","LRP1"
"LRP11_Q86VZ4_MS",-0.0436925090546271,-0.0723233094199408,0.019592082737511,-2.2301104808512,0.0265532175609543,0.719617769895761,0.714482564216196,273,-0.0822632781543011,-0.0051217399549531,-256.191179427393,0.119719091835104,"LRP11","Q86VZ4","LRP11"
"LRP1B_Q9NZR2_MS",-0.0313298225286879,-0.0699861480735548,0.0201542217781043,-1.55450420629611,0.121222678132056,0.459635211688087,0.449738420693363,273,-0.0710072700467377,0.00834762498936188,-240.406340779464,0.31947226632719,"LRP1B","Q9NZR2","LRP1B"
"LRP2_P98164_MS",0.0263321288865671,0.034383700495125,0.0447726196203366,0.58813018112093,0.556932912242575,0.0929068957561846,0.0762323901634675,272,-0.0618127950690181,0.114477052842152,203.574435661849,0.754506167589673,"LRP2","P98164","LRP2"
"LRP4_O75096_MS",-0.0815494824785053,-0.120606891271335,0.0331306282139114,-2.46145294776702,0.0144562728122068,0.359958945801384,0.348236582171373,273,-0.146773472601786,-0.0163254923552244,36.9444312105542,0.0776113956814499,"LRP4","O75096","LRP4"
"LRP8_Q14114_MS",-0.0289171972550956,-0.0535572767999802,0.0174401129982282,-1.65808542972362,0.0984487615011201,0.721855914800118,0.716761700785468,273,-0.0632514015629904,0.00541700705279921,-321.115955309588,0.286293524825096,"LRP8","Q14114","LRP8"
"LRRC17_Q8N6Y2_MS",-0.0544130936813683,-0.0479813577245278,0.0717302444010715,-0.758579510438074,0.448848438631941,0.0604000203897105,0.0408250208144962,240,-0.195714332490512,0.0868881451277757,382.303888492578,0.680507286345947,"LRRC17","Q8N6Y2","LRRC17"
