"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.25094.9",-0.000714792523590756,-0.00347653055011976,0.0113672922396929,-0.0628815120187379,0.949916435577376,0.314516322976653,0.302383868516062,226,-0.0231142265172318,0.0216846414700503,-629.861280052118,"ACSS2__seq.25094.9__ANML",NA,0.999033312328986,"Q9NR19","ACSS2","ACSS2","ACSS2__seq.25094.9","ACSS2"
"seq.25095.1",0.0166247474170071,0.1344354197521,0.00829908122233753,2.00320336331455,0.0464168922987541,0.0421022743265242,0.024197643940104,214,0.000266334991403817,0.0329831598426105,-747.233408720468,"SNCAIP__seq.25095.1__ANML",NA,0.999033312328986,"Q9Y6H5","SNCAIP","SNCAIP","SNCAIP__seq.25095.1","SNCAIP"
"seq.25096.58",0.00223874714994635,0.0180195820514486,0.00820108487745519,0.272981829038336,0.785123255082047,0.0487948759201859,0.0315002373005531,220,-0.0139239967901656,0.0184014910900583,-766.822124653151,"MYBPC2__seq.25096.58__ANML",NA,0.999033312328986,"Q14324","MYBPC2","MYBPC2","MYBPC2__seq.25096.58","MYBPC2"
"seq.25099.4",0.00579435126474372,0.0399499542400492,0.00924565288256202,0.626710881139859,0.531481314279251,0.0889361830201053,0.0728111597107266,226,-0.0124243579145551,0.0240130604440426,-725.35764592259,"CADPS2__seq.25099.4__ANML",NA,0.999033312328986,"Q86UW7","CADPS2","CADPS2","CADPS2__seq.25099.4","CADPS2"
"seq.25100.11",0.000934359279884356,0.00344971652632532,0.00982540312505247,0.0950962793070505,0.924322990899695,0.706080257315453,0.700855017445506,225,-0.0184272204132115,0.0202959389729802,-694.244328871833,"CMIP__seq.25100.11__ANML",NA,0.999033312328986,"Q8IY22","CMIP","CMIP","CMIP__seq.25100.11","CMIP"
"seq.25102.23",-0.0184536620729282,-0.0655899307272377,0.0144739915784809,-1.27495321334607,0.203658525677647,0.415248058513169,0.404711987495388,222,-0.0469776643164456,0.0100703401705893,-520.581444557542,"ELP1__seq.25102.23__ANML",NA,0.999033312328986,"O95163","ELP1","ELP1","ELP1__seq.25102.23","ELP1"
"seq.25103.45",-0.025246446333571,-0.0774533582093229,0.0223875828744303,-1.12769862093536,0.260727919167504,0.0113643900635371,-0.00737751723383662,211,-0.0693784312899156,0.0188855386227736,-303.380850694694,"VPS53__seq.25103.45__ANML",NA,0.999033312328986,"Q5VIR6","VPS53","VPS53","VPS53__seq.25103.45","VPS53"
"seq.25104.10",-0.0127577039626064,-0.0728051387875391,0.0107354917938883,-1.18836698006415,0.235947257449393,0.166448743781953,0.151563899920916,224,-0.0339131817644671,0.00839777383925426,-651.085387782224,"TFCP2L1__seq.25104.10__ANML",NA,0.999033312328986,"Q9NZI6","TFCP2L1","TFCP2L1","TFCP2L1__seq.25104.10","TFCP2L1"
"seq.25105.70",0.000811028169324624,0.00688407257952613,0.00757696283470437,0.107038689118272,0.914852825842177,0.0687233829850799,0.0523132223328346,227,-0.0141191460949536,0.0157412024336029,-820.762811028378,"EIF2A__seq.25105.70__ANML",NA,0.999033312328986,"Q9BY44","EIF2A","EIF2A","EIF2A__seq.25105.70","EIF2A_1"
"seq.25105.87",-0.0358092560246318,-0.100113818071893,0.0237889874744409,-1.50528710240844,0.133678153611016,0.0281312843322975,0.010540900338312,221,-0.0826915522584817,0.0110730402092182,-294.07994565396,"EIF2A__seq.25105.87__ANML",NA,0.999033312328986,"Q9BY44","EIF2A","EIF2A","EIF2A__seq.25105.87","EIF2A_2"
"seq.25108.6",0.105455322391704,0.200999873296506,0.0246510565796913,4.27792301927467,2.78111656933987e-05,0.502955791355379,0.494197303097324,227,0.0568811669467753,0.154029477836632,-273.378612265049,"ATE1__seq.25108.6__ANML",NA,0.0034744091998396,"O95260","ATE1","ATE1","ATE1__seq.25108.6","ATE1"
"seq.25110.19",-0.0228268651185218,-0.106398107000548,0.0142543951221934,-1.60139135493596,0.110693296228169,0.0142651581291802,-0.00325901683741203,225,-0.0509160542970829,0.00526232406003926,-528.830611580934,"EXOC7__seq.25110.19__ANML",NA,0.999033312328986,"Q9UPT5","EXOC7","EXOC7","EXOC7__seq.25110.19","EXOC7"
"seq.25111.24",-0.020872111075957,-0.102305580425214,0.0137063713226411,-1.52280356227319,0.129243944966941,0.0115334491919736,-0.00643866991362674,220,-0.047884704329922,0.00614048217800809,-540.73473552498,"RAD18__seq.25111.24__ANML",NA,0.999033312328986,"Q9NS91","RAD18","RAD18","RAD18__seq.25111.24","RAD18"
"seq.25112.6",0.00247648440956577,0.0169803350766015,0.00966808717826704,0.256150401201664,0.798069789265228,0.023898655625326,0.00646827447577836,224,-0.0165755541568205,0.021528522975952,-699.005518628083,"RPS6KB2__seq.25112.6__ANML",NA,0.999033312328986,"Q9UBS0","RPS6KB2","RPS6KB2","RPS6KB2__seq.25112.6","RPS6KB2"
"seq.25114.256",0.00417363201683627,0.0101666425034768,0.0243141737496006,0.171654281153799,0.863869297938265,0.242603464071482,0.228642237602753,217,-0.0437485419270567,0.0520958059607293,-273.878769841945,"TBC1D24__seq.25114.256__ANML",NA,0.999033312328986,"Q9ULP9","TBC1D24","TBC1D24","TBC1D24__seq.25114.256","TBC1D24"
"seq.25115.21",0.0235779430950501,0.100071772850797,0.015111743138891,1.5602398001572,0.120108642029557,0.0821843090265962,0.0658675856315136,225,-0.00620070469795527,0.0533565908880555,-496.464919612371,"FHOD1__seq.25115.21__ANML",NA,0.999033312328986,"Q9Y613","FHOD1","FHOD1","FHOD1__seq.25115.21","FHOD1"
"seq.25116.11",-0.00243301013214262,-0.0174745251369578,0.00899393373488927,-0.270516795415613,0.787017467647647,0.0918297532553939,0.0752421688399674,219,-0.0201587527054258,0.0152927324411405,-733.537147429083,"CCDC9__seq.25116.11__ANML",NA,0.999033312328986,"Q9Y3X0","CCDC9","CCDC9","CCDC9__seq.25116.11","CCDC9"
"seq.25117.17",-0.0471228060772045,-0.0386375087971739,0.063220763789791,-0.745369135904271,0.456833484954824,0.40505378388525,0.394382102878708,223,-0.171709370750441,0.0774637585960314,160.47071121133,"PGM5__seq.25117.17__ANML",NA,0.999033312328986,"Q15124","PGM5","PGM5","PGM5__seq.25117.17","PGM5"
"seq.25118.45",0.017225782493461,0.0332404783954102,0.0238209036231081,0.723137239712045,0.470349973076716,0.530620388910451,0.522238610140994,224,-0.0297159512895987,0.0641675162765207,-285.991408668502,"BICD1__seq.25118.45__ANML",NA,0.999033312328986,"Q96G01","BICD1","BICD1","BICD1__seq.25118.45","BICD1"
"seq.25121.7",0.00484038279515593,0.00512752082357338,0.0432135803787346,0.112010686287357,0.910913916689887,0.528191967634004,0.51987816970685,227,-0.0803106598736545,0.0899914254639664,-12.9191520233274,"NOMO2__seq.25121.7__ANML",NA,0.999033312328986,"Q5JPE7","NOMO2","NOMO2","NOMO2__seq.25121.7","NOMO2"
