source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance,source_tuple,target_tuple
0,1,P01570,R-HSA-983231,0,0.021139211331804592,0.005410750778525973,"(np.str_('P01570'), '0')","('R-HSA-983231', '1')"
0,1,P01570,R-HSA-983231,1,0.03740374252606088,0.00957378805746544,"(np.str_('P01570'), '0')","('R-HSA-983231', '1')"
0,1,P02741,R-HSA-166663,0,0.010958042115164109,0.004719371861382163,"(np.str_('P02741'), '0')","('R-HSA-166663', '1')"
0,1,P02741,R-HSA-166663,1,0.022558271126726117,0.009715318564944807,"(np.str_('P02741'), '0')","('R-HSA-166663', '1')"
0,1,P04049,R-HSA-2672351,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-2672351', '1')"
0,1,P04049,R-HSA-2672351,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-2672351', '1')"
0,1,P04049,R-HSA-392517,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-392517', '1')"
0,1,P04049,R-HSA-392517,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-392517', '1')"
0,1,P04049,R-HSA-430116,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-430116', '1')"
0,1,P04049,R-HSA-430116,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-430116', '1')"
0,1,P04049,R-HSA-5621575,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-5621575', '1')"
0,1,P04049,R-HSA-5621575,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-5621575', '1')"
0,1,P04049,R-HSA-5673001,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-5673001', '1')"
0,1,P04049,R-HSA-5673001,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-5673001', '1')"
0,1,P04049,R-HSA-6802946,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-6802946', '1')"
0,1,P04049,R-HSA-6802946,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-6802946', '1')"
0,1,P04049,R-HSA-6802948,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-6802948', '1')"
0,1,P04049,R-HSA-6802948,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-6802948', '1')"
0,1,P04049,R-HSA-6802949,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-6802949', '1')"
0,1,P04049,R-HSA-6802949,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-6802949', '1')"
0,1,P04049,R-HSA-6802952,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-6802952', '1')"
0,1,P04049,R-HSA-6802952,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-6802952', '1')"
0,1,P04049,R-HSA-6802955,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-6802955', '1')"
0,1,P04049,R-HSA-6802955,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-6802955', '1')"
0,1,P04049,R-HSA-877300,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-877300', '1')"
0,1,P04049,R-HSA-877300,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-877300', '1')"
0,1,P04049,R-HSA-9656223,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-9656223', '1')"
0,1,P04049,R-HSA-9656223,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-9656223', '1')"
0,1,P04049,R-HSA-9660537,0,0.07627764137802072,0.015545005516586476,"(np.str_('P04049'), '0')","('R-HSA-9660537', '1')"
0,1,P04049,R-HSA-9660537,1,0.16400621680972668,0.03342365467787402,"(np.str_('P04049'), '0')","('R-HSA-9660537', '1')"
0,1,P08727,R-HSA-6809371,0,0.033281473144411274,0.012875031314816508,"(np.str_('P08727'), '0')","('R-HSA-6809371', '1')"
0,1,P08727,R-HSA-6809371,1,0.006471198340221189,0.002503401244086073,"(np.str_('P08727'), '0')","('R-HSA-6809371', '1')"
0,1,P08727,R-HSA-9725554,0,0.033281473144411274,0.012875031314816508,"(np.str_('P08727'), '0')","('R-HSA-9725554', '1')"
0,1,P08727,R-HSA-9725554,1,0.006471198340221189,0.002503401244086073,"(np.str_('P08727'), '0')","('R-HSA-9725554', '1')"
0,1,P08754,R-HSA-392170,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-392170', '1')"
0,1,P08754,R-HSA-392170,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-392170', '1')"
0,1,P08754,R-HSA-418555,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-418555', '1')"
0,1,P08754,R-HSA-418555,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-418555', '1')"
0,1,P08754,R-HSA-418594,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-418594', '1')"
0,1,P08754,R-HSA-418594,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-418594', '1')"
0,1,P08754,R-HSA-418597,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-418597', '1')"
0,1,P08754,R-HSA-418597,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-418597', '1')"
