"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label","Gender"
"seq.2943.5",0.128546874007384,0.228438029584954,0.0295551634513665,4.34938802551066,1.80261768921388e-05,0.0844712114413678,0.0764636710166566,343,0.0704146964748222,0.186679051539945,80.8925199017669,"Cytochrome_P450_3A4__seq.2943.5__ANML",4.87374412268939e-05,"P08684","CYP3A4","CYP3A4","CYP3A4__seq.2943.5","CYP3A4_1","female"
"seq.3480.7",0.147946854307452,0.11972246506685,0.0489741069019618,3.02091990372827,0.00270874604561827,0.478159028087645,0.473608089379107,344,0.0516204652499261,0.244273243364979,433.186273639655,"DUS3__seq.3480.7__ANML",0.00335149934457853,"P51452","DUSP3","DUSP3","DUSP3__seq.3480.7","DUSP3","female"
"seq.4337.49",-0.407372728499526,-0.182118628214997,0.119126131511632,-3.4196756272552,0.000702300715017912,0.0576674135714524,0.0494493968293429,344,-0.641680014875949,-0.173065442123103,1051.85450191752,"CRP__seq.4337.49__ANML",0.00109080749353846,"P02741","CRP","CRP","CRP__seq.4337.49","CRP","female"
"seq.5015.15",0.188011785381473,0.216772441083402,0.0439136811163943,4.28139433091803,2.41186852119316e-05,0.148267984551669,0.140840089068108,344,0.101638667018461,0.274384903744485,357.276467376354,"PAFAH__seq.5015.15__ANML",6.07125524300348e-05,"Q13093","PLA2G7","PLA2G7","PLA2G7__seq.5015.15","PLA2G7","female"
"seq.5383.14",0.131567440118763,0.109515900781299,0.0371669993482767,3.53989943836732,0.000455503094872995,0.681934201940729,0.679152285339628,343,0.0584635099705873,0.20467137026694,240.373307437451,"BAFF_Receptor__seq.5383.14__ANML",0.000791707760136396,"Q96RJ3","TNFRSF13C","TNFRSF13C","TNFRSF13C__seq.5383.14","TNFRSF13C","female"
"seq.5494.52",-0.138384970107417,-0.352336489626923,0.0197646468600331,-7.00164142002714,1.3398128018509e-11,0.160197146689989,0.152851932229552,343,-0.177260138638508,-0.0995098015763252,-198.239207453506,"RUXF__seq.5494.52__ANML",6.11289590844472e-11,"P62306","SNRPF","SNRPF","SNRPF__seq.5494.52","SNRPF","female"
"seq.5744.12",0.1598105728933,0.173408300707876,0.0418449244372017,3.81911486381423,0.000158856234005384,0.31501727485466,0.309043588298159,344,0.0775064590175815,0.242114686769019,323.690705796816,"CA056__seq.5744.12__ANML",0.000305171186378764,"Q9BUN1","MENT","MENT","MENT__seq.5744.12","MENT","female"
"seq.6378.2",0.100953051017424,0.138672477094757,0.0375754672589044,2.68667453479241,0.00756706252356404,0.114852343603025,0.107133032646075,344,0.0270464643093659,0.174859637725483,248.787785208481,"CEI__seq.6378.2__ANML",0.0087681835590504,"Q86SI9","C5orf38","C5orf38","C5orf38__seq.6378.2","C5orf38","female"
"seq.6442.6",0.107488980013645,0.177111656345652,0.0325484396470625,3.30243112048372,0.00105945984579196,0.0454069768682364,0.0370577667533813,343,0.0434693147160941,0.171508645311197,147.843370112111,"BAGE3__seq.6442.6__ANML",0.00148731862966948,"Q86Y29","BAGE3","BAGE3","BAGE3__seq.6442.6","BAGE3","female"
"seq.7203.125",-0.0550106279432903,-0.221689947795143,0.0129666920326055,-4.24245658067322,2.84799906661151e-05,0.0962300963460131,0.0883254033111385,343,-0.0805148700189546,-0.0295063858676261,-491.455832249082,"RFNG__seq.7203.125__ANML",6.70657844718194e-05,"Q9Y644","RFNG","RFNG","RFNG__seq.7203.125","RFNG","female"
"seq.7223.60",-0.921650633469816,-0.667210099297373,0.0527654232294281,-17.4669428777707,2.3281622832826e-49,0.515206578624375,0.510978729019355,344,-1.0254341020884,-0.817867164851232,485.083085771526,"S100A13__seq.7223.60__ANML",8.49779233398149e-48,"Q99584","S100A13","S100A13","S100A13__seq.7223.60","S100A13","female"
"seq.7965.25",-0.319065356082804,-0.357473284850866,0.0452465318153547,-7.05170856818085,9.74797335934526e-12,0.146185028045105,0.138738967243173,344,-0.408060037208373,-0.230070674957236,378.08694252413,"HBAT__seq.7965.25__ANML",4.74401370154803e-11,"P09105","HBQ1","HBQ1","HBQ1__seq.7965.25","HBQ1_2","female"
"seq.8760.10",-0.303627833403997,-0.385862684626602,0.0390005231351133,-7.78522463281095,8.25170215933961e-14,0.183815088511444,0.176697196841486,344,-0.380337339765807,-0.226918327042188,274.695472635623,"DCNL5__seq.8760.10__ANML",4.30267326879851e-13,"Q9BTE7","DCUN1D5","DCUN1D5","DCUN1D5__seq.8760.10","DCUN1D5","female"
"seq.8922.4",-0.161054774596875,-0.199558277383774,0.0434677917449977,-3.70515197877309,0.000246184504093226,0.0391825465674229,0.0307788953712196,343,-0.246551760286927,-0.0755577889068231,348.281671497287,"TMCC3_region_1__seq.8922.4__ANML",0.000460806892277064,"Q9ULS5","TMCC3","TMCC3","TMCC3__seq.8922.4","TMCC3_2","female"
"seq.8967.6",-0.0866215159154389,-0.142483864643782,0.0310650693010735,-2.78838959205044,0.0055951614848104,0.141965057288852,0.134394160735518,340,-0.147725442757759,-0.0255175890731184,111.280553791926,"DUS26__seq.8967.6__ANML",0.00658785142566385,"Q9BV47","DUSP26","DUSP26","DUSP26__seq.8967.6","DUSP26","female"
"seq.9199.6",-0.0756084160997951,-0.153542316807117,0.0266600201466069,-2.83602246675038,0.0048390905384667,0.0266560845790655,0.0181428724908356,343,-0.128046123870705,-0.0231707083288855,9.53584189973352,"UB2G2__seq.9199.6__ANML",0.00579104277554212,"P60604","UBE2G2","UBE2G2","UBE2G2__seq.9199.6","UBE2G2","female"
"seq.9314.9",-0.202406102444723,-0.24345711079408,0.0402895423375625,-5.02378758112664,8.15720806673353e-07,0.219725010618118,0.212920286873508,344,-0.281650960098314,-0.123161244791131,297.327221234997,"PSG5__seq.9314.9__ANML",2.48115078696478e-06,"Q15238","PSG5","PSG5","PSG5__seq.9314.9","PSG5","female"
